,gene,Symbol,description
4485,ENSMUSG00000028702,Rad54l,RAD54 like (S. cerevisiae)
4486,ENSMUSG00000024824,Rad9a,RAD9 checkpoint clamp component A
4490,ENSMUSG00000061311,Rag1,recombination activating 1
4491,ENSMUSG00000032864,Rag2,recombination activating gene 2
4492,ENSMUSG00000002059,Rab34,"RAB34, member RAS oncogene family"
4493,ENSMUSG00000062115,Rai1,retinoic acid induced 1
4494,ENSMUSG00000013584,Aldh1a2,"aldehyde dehydrogenase family 1, subfamily A2"
4495,ENSMUSG00000027593,Raly,hnRNP-associated with lethal yellow
4496,ENSMUSG00000029430,Ran,"RAN, member RAS oncogene family"
4497,ENSMUSG00000005732,Ranbp1,RAN binding protein 1
4498,ENSMUSG00000003226,Ranbp2,RAN binding protein 2
4499,ENSMUSG00000022391,Rangap1,RAN GTPase activating protein 1
4500,ENSMUSG00000032946,Rasgrp2,"RAS, guanyl releasing protein 2"
4501,ENSMUSG00000002104,Rapsn,receptor-associated protein of the synapse
4502,ENSMUSG00000037992,Rara,"retinoic acid receptor, alpha"
4511,ENSMUSG00000001288,Rarg,"retinoic acid receptor, gamma"
4513,ENSMUSG00000031453,Rasa3,RAS p21 protein activator 3
4514,ENSMUSG00000029602,Rasal1,RAS protein activator like 1 (GAP1 like)
4515,ENSMUSG00000049892,Rasd1,"RAS, dexamethasone-induced 1"
4516,ENSMUSG00000032356,Rasgrf1,RAS protein-specific guanine nucleotide-releasing factor 1
4517,ENSMUSG00000021708,Rasgrf2,RAS protein-specific guanine nucleotide-releasing factor 2
4518,ENSMUSG00000027347,Rasgrp1,RAS guanyl releasing protein 1
4519,ENSMUSG00000083649,Rasl2-9,"RAS-like, family 2, locus 9"
4520,ENSMUSG00000024518,Rax,retina and anterior neural fold homeobox
4731,ENSMUSG00000022105,Rb1,RB transcriptional corepressor 1
4732,ENSMUSG00000057236,Rbbp4,"retinoblastoma binding protein 4, chromatin remodeling factor"
4733,ENSMUSG00000030779,Rbbp6,"retinoblastoma binding protein 6, ubiquitin ligase"
4734,ENSMUSG00000032128,Robo3,roundabout guidance receptor 3
4735,ENSMUSG00000027641,Rbl1,RB transcriptional corepressor like 1
4736,ENSMUSG00000031666,Rbl2,RB transcriptional corepressor like 2
4737,ENSMUSG00000031167,Rbm3,"RNA binding motif (RNP1, RRM) protein 3"
4738,ENSMUSG00000094936,Rbm4,RNA binding motif protein 4
4739,ENSMUSG00000032582,Rbm6,RNA binding motif protein 6
4740,ENSMUSG00000031134,Rbmx,"RNA binding motif protein, X chromosome"
4741,ENSMUSG00000037070,Rbmxl1,"RNA binding motif protein, X-linked like-1"
4742,ENSMUSG00000094658,Rbmy,"RNA binding motif protein, Y chromosome"
4743,ENSMUSG00000046402,Rbp1,"retinol binding protein 1, cellular"
4744,ENSMUSG00000032454,Rbp2,"retinol binding protein 2, cellular"
4745,ENSMUSG00000041534,Rbp3,"retinol binding protein 3, interstitial"
4746,ENSMUSG00000024990,Rbp4,"retinol binding protein 4, plasma"
4747,ENSMUSG00000031586,Rbpms,RNA binding protein gene with multiple splicing
4748,ENSMUSG00000039191,Rbpj,recombination signal binding protein for immunoglobulin kappa J region
4752,ENSMUSG00000017007,Rbpjl,recombination signal binding protein for immunoglobulin kappa J region-like
4753,ENSMUSG00000024889,Rce1,Ras converting CAAX endopeptidase 1
4754,ENSMUSG00000005973,Rcn1,reticulocalbin 1
4755,ENSMUSG00000020907,Rcvrn,recoverin
4756,ENSMUSG00000029406,Pitpnm2,"phosphatidylinositol transfer protein, membrane-associated 2"
4757,ENSMUSG00000025350,Rdh5,retinol dehydrogenase 5
4758,ENSMUSG00000069456,Rdh16,retinol dehydrogenase 16
4759,ENSMUSG00000032050,Rdx,radixin
4760,ENSMUSG00000029191,Rfc1,replication factor C (activator 1) 1
4761,ENSMUSG00000030243,Recql,RecQ protein-like
4762,ENSMUSG00000059654,Reg1,regenerating islet-derived 1
4763,ENSMUSG00000023140,Reg2,regenerating islet-derived 2
4764,ENSMUSG00000079516,Reg3a,regenerating islet-derived 3 alpha
4765,ENSMUSG00000030017,Reg3g,regenerating islet-derived 3 gamma
4766,ENSMUSG00000020275,Rel,reticuloendotheliosis oncogene
4767,ENSMUSG00000024927,Rela,v-rel reticuloendotheliosis viral oncogene homolog A (avian)
4768,ENSMUSG00000002983,Relb,avian reticuloendotheliosis viral (v-rel) oncogene related B
4769,ENSMUSG00000042453,Reln,reelin
4770,ENSMUSG00000000359,Rem1,rad and gem related GTP binding protein 1
4771,ENSMUSG00000070645,Ren1,renin 1 structural
4773,ENSMUSG00000031387,Renbp,renin binding protein
4774,ENSMUSG00000058301,Upf1,UPF1 regulator of nonsense transcripts homolog (yeast)
4775,ENSMUSG00000019854,Reps1,RalBP1 associated Eps domain containing protein
4776,ENSMUSG00000024826,Dpf2,"D4, zinc and double PHD fingers family 2"
4777,ENSMUSG00000033061,Resp18,regulated endocrine-specific protein 18
4778,ENSMUSG00000029249,Rest,RE1-silencing transcription factor
4779,ENSMUSG00000030110,Ret,ret proto-oncogene
4780,ENSMUSG00000019841,Rev3l,"REV3 like, DNA directed polymerase zeta catalytic subunit"
4781,ENSMUSG00000050071,Bex1,brain expressed X-linked 1
4782,ENSMUSG00000023104,Rfc2,replication factor C (activator 1) 2
4783,ENSMUSG00000025158,Rfng,RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
4784,ENSMUSG00000021326,Trim27,tripartite motif-containing 27
4785,ENSMUSG00000031706,Rfx1,"regulatory factor X, 1 (influences HLA class II expression)"
4786,ENSMUSG00000024206,Rfx2,"regulatory factor X, 2 (influences HLA class II expression)"
4787,ENSMUSG00000040929,Rfx3,"regulatory factor X, 3 (influences HLA class II expression)"
4788,ENSMUSG00000036120,Rfxank,regulatory factor X-associated ankyrin-containing protein
4789,ENSMUSG00000027953,Slc50a1,"solute carrier family 50 (sugar transporter), member 1"
4790,ENSMUSG00000026821,Ralgds,ral guanine nucleotide dissociation stimulator
4791,ENSMUSG00000026482,Rgl1,"ral guanine nucleotide dissociation stimulator,-like 1"
4792,ENSMUSG00000041354,Rgl2,ral guanine nucleotide dissociation stimulator-like 2
4793,ENSMUSG00000023070,Rgn,regucalcin
4794,ENSMUSG00000026475,Rgs16,regulator of G-protein signaling 16
4795,ENSMUSG00000026360,Rgs2,regulator of G-protein signaling 2
4796,ENSMUSG00000038530,Rgs4,regulator of G-protein signaling 4
4797,ENSMUSG00000026678,Rgs5,regulator of G-protein signaling 5
4798,ENSMUSG00000020599,Rgs9,regulator of G-protein signaling 9
4800,ENSMUSG00000023926,Rhag,Rhesus blood group-associated A glycoprotein
4801,ENSMUSG00000028945,Rheb,Ras homolog enriched in brain
4802,ENSMUSG00000028825,Rhd,"Rh blood group, D antigen"
4803,ENSMUSG00000035896,Rnase1,"ribonuclease, RNase A family, 1 (pancreatic)"
4804,ENSMUSG00000057455,Rit2,Ras-like without CAAX 2
4805,ENSMUSG00000024325,Ring1,ring finger protein 1
4806,ENSMUSG00000024096,Ralbp1,ralA binding protein 1
4807,ENSMUSG00000021408,Ripk1,receptor (TNFRSF)-interacting serine-threonine kinase 1
4808,ENSMUSG00000028057,Rit1,Ras-like without CAAX 1
4809,ENSMUSG00000039194,Rlbp1,retinaldehyde binding protein 1
4810,ENSMUSG00000039097,Rln1,relaxin 1
4811,ENSMUSG00000026469,Xpr1,xenotropic and polytropic retrovirus receptor 1
4812,ENSMUSG00000030421,Uri1,"URI1, prefoldin-like chaperone"
4813,ENSMUSG00000088088,Rmrp,RNA component of mitochondrial RNAase P
4814,ENSMUSG00000106222,Rprl1,ribonuclease P RNA-like 1
4824,ENSMUSG00000096406,Rn5s,5S RNA
4826,ENSMUSG00000065037,Rn7sk,"RNA, 7SK, nuclear"
4827,ENSMUSG00000020630,Rnaseh1,ribonuclease H1
4828,ENSMUSG00000056537,Rlim,"ring finger protein, LIM domain interacting"
4829,ENSMUSG00000026484,Rnf2,ring finger protein 2
4830,ENSMUSG00000029110,Rnf4,ring finger protein 4
4831,ENSMUSG00000051234,Rnf7,ring finger protein 7
4832,ENSMUSG00000073400,Trim10,tripartite motif-containing 10
4833,ENSMUSG00000034681,Rnps1,RNA binding protein with serine rich domain 1
4834,ENSMUSG00000095969,Rnu1a1,U1a1 small nuclear RNA
4835,ENSMUSG00000095580,Rnu1b1,U1b1 small nuclear RNA
4836,ENSMUSG00000093834,Rnu1b2,U1b2 small nuclear RNA
4837,ENSMUSG00000065773,Rnu1b6,U1b6 small nuclear RNA
4838,ENSMUSG00000065944,Rnu2-10,U2 small nuclear RNA 10
4839,ENSMUSG00000106147,Rnu3a,U3A small nuclear RNA
4843,ENSMUSG00000105025,Rnu3b1,U3B small nuclear RNA 1
4844,ENSMUSG00000098925,Rnu3b2,U3B small nuclear RNA 2
4845,ENSMUSG00000104856,Rnu3b3,U3B small nuclear RNA 3
4846,ENSMUSG00000104896,Rnu3b4,U3B small nuclear RNA 4
4847,ENSMUSG00000095132,Rnu6,U6 small nuclear RNA
4850,ENSMUSG00000089083,Rnu7,U7 small nuclear RNA
4854,ENSMUSG00000064984,Snord73a,"small nucleolar RNA, C/D box U73A"
4855,ENSMUSG00000064390,Rnu73b,U73B small nuclear RNA
4856,ENSMUSG00000065701,Rny1,"RNA, Y1 small cytoplasmic, Ro-associated"
4857,ENSMUSG00000064945,Rny3,"RNA, Y3 small cytoplasmic (associated with Ro protein)"
4859,ENSMUSG00000022883,Robo1,roundabout guidance receptor 1
4860,ENSMUSG00000024290,Rock1,Rho-associated coiled-coil containing protein kinase 1
4861,ENSMUSG00000020580,Rock2,Rho-associated coiled-coil containing protein kinase 2
4862,ENSMUSG00000063796,Slc22a8,"solute carrier family 22 (organic anion transporter), member 8"
4864,ENSMUSG00000071648,Rom1,rod outer segment membrane protein 1
4865,ENSMUSG00000032584,Mst1r,macrophage stimulating 1 receptor (c-met-related tyrosine kinase)
4866,ENSMUSG00000032238,Rora,RAR-related orphan receptor alpha
4867,ENSMUSG00000028150,Rorc,RAR-related orphan receptor gamma
4868,ENSMUSG00000019893,Ros1,Ros1 proto-oncogene
4869,ENSMUSG00000025900,Rp1,retinitis pigmentosa 1 (human)
4870,ENSMUSG00000060090,Rp2,retinitis pigmentosa 2 homolog
4871,ENSMUSG00000028884,Rpa2,replication protein A2
4872,ENSMUSG00000028174,Rpe65,retinal pigment epithelium 65
4873,ENSMUSG00000031174,Rpgr,retinitis pigmentosa GTPase regulator
4874,ENSMUSG00000029608,Rph3a,rabphilin 3A
4875,ENSMUSG00000053604,Rpia,ribose 5-phosphate isomerase A
4876,ENSMUSG00000037805,Rpl10a,ribosomal protein L10A
4878,ENSMUSG00000059070,Rpl18,ribosomal protein L18
4879,ENSMUSG00000017404,Rpl19,ribosomal protein L19
4880,ENSMUSG00000041453,Rpl21,ribosomal protein L21
4881,ENSMUSG00000028936,Rpl22,ribosomal protein L22
4882,ENSMUSG00000037772,Mrpl23,mitochondrial ribosomal protein L23
4883,ENSMUSG00000060938,Rpl26,ribosomal protein L26
4884,ENSMUSG00000063316,Rpl27,ribosomal protein L27
4885,ENSMUSG00000030432,Rpl28,ribosomal protein L28
4886,ENSMUSG00000048758,Rpl29,ribosomal protein L29
4888,ENSMUSG00000058600,Rpl30,ribosomal protein L30
4892,ENSMUSG00000057841,Rpl32,ribosomal protein L32
4894,ENSMUSG00000046330,Rpl37a,ribosomal protein L37a
4895,ENSMUSG00000079435,Rpl36a,ribosomal protein L36A
4896,ENSMUSG00000029614,Rpl6,ribosomal protein L6
4897,ENSMUSG00000043716,Rpl7,ribosomal protein L7
4898,ENSMUSG00000047215,Rpl9,ribosomal protein L9
4899,ENSMUSG00000027642,Rpn2,ribophorin II
4901,ENSMUSG00000067148,Polr1c,polymerase (RNA) I polypeptide C
4902,ENSMUSG00000027395,Polr1b,polymerase (RNA) I polypeptide B
4903,ENSMUSG00000029642,Polr1d,polymerase (RNA) I polypeptide D
4904,ENSMUSG00000049553,Polr1a,polymerase (RNA) I polypeptide A
4905,ENSMUSG00000005198,Polr2a,polymerase (RNA) II (DNA directed) polypeptide A
4906,ENSMUSG00000031783,Polr2c,polymerase (RNA) II (DNA directed) polypeptide C
4907,ENSMUSG00000039771,Polr2j,polymerase (RNA) II (DNA directed) polypeptide J
4908,ENSMUSG00000022205,Sub1,"SUB1 homolog, transcriptional regulator"
4909,ENSMUSG00000006007,Pdc,phosducin
4910,ENSMUSG00000061983,Rps12,ribosomal protein S12
4911,ENSMUSG00000024608,Rps14,ribosomal protein S14
4912,ENSMUSG00000063457,Rps15,ribosomal protein S15
4913,ENSMUSG00000037563,Rps16,ribosomal protein S16
4914,ENSMUSG00000061787,Rps17,ribosomal protein S17
4915,ENSMUSG00000008668,Rps18,ribosomal protein S18
4916,ENSMUSG00000040952,Rps19,ribosomal protein S19
4917,ENSMUSG00000025290,Rps24,ribosomal protein S24
4918,ENSMUSG00000034892,Rps29,ribosomal protein S29
4919,ENSMUSG00000028081,Rps3a1,ribosomal protein S3A1
4920,ENSMUSG00000031320,Rps4x,"ribosomal protein S4, X-linked"
4921,ENSMUSG00000012848,Rps5,ribosomal protein S5
4922,ENSMUSG00000028495,Rps6,ribosomal protein S6
4923,ENSMUSG00000003644,Rps6ka1,ribosomal protein S6 kinase polypeptide 1
4924,ENSMUSG00000023809,Rps6ka2,"ribosomal protein S6 kinase, polypeptide 2"
4925,ENSMUSG00000061477,Rps7,ribosomal protein S7
4926,ENSMUSG00000047675,Rps8,ribosomal protein S8
4927,ENSMUSG00000030921,Trim30a,tripartite motif-containing 30A
4928,ENSMUSG00000041984,Rptn,repetin
4929,ENSMUSG00000038387,Rras,related RAS viral (r-ras) oncogene
4930,ENSMUSG00000028012,Rrh,retinal pigment epithelium derived rhodopsin homolog
4931,ENSMUSG00000030978,Rrm1,ribonucleotide reductase M1
4932,ENSMUSG00000020649,Rrm2,ribonucleotide reductase M2
4934,ENSMUSG00000031293,Rs1,"retinoschisis (X-linked, juvenile) 1 (human)"
4935,ENSMUSG00000066026,Dhrs3,dehydrogenase/reductase (SDR family) member 3
4937,ENSMUSG00000026727,Rsu1,Ras suppressor protein 1
4939,ENSMUSG00000034930,Rtkn,rhotekin
4940,ENSMUSG00000030401,Rtn2,reticulon 2 (Z-band associated protein)
4941,ENSMUSG00000024758,Rtn3,reticulon 3
4942,ENSMUSG00000074811,Hps6,"HPS6, biogenesis of lysosomal organelles complex 2 subunit 3"
4943,ENSMUSG00000003868,Ruvbl2,RuvB-like protein 2
4944,ENSMUSG00000015846,Rxra,retinoid X receptor alpha
4945,ENSMUSG00000039656,Rxrb,retinoid X receptor beta
4946,ENSMUSG00000015843,Rxrg,retinoid X receptor gamma
4947,ENSMUSG00000025878,Uimc1,ubiquitin interaction motif containing 1
4948,ENSMUSG00000018501,Ncor1,nuclear receptor co-repressor 1
4949,ENSMUSG00000047638,Nr1h4,"nuclear receptor subfamily 1, group H, member 4"
4950,ENSMUSG00000032547,Ryk,receptor-like tyrosine kinase
4951,ENSMUSG00000030592,Ryr1,"ryanodine receptor 1, skeletal muscle"
4952,ENSMUSG00000021313,Ryr2,"ryanodine receptor 2, cardiac"
4953,ENSMUSG00000057378,Ryr3,ryanodine receptor 3
4954,ENSMUSG00000044080,S100a1,S100 calcium binding protein A1
4955,ENSMUSG00000041959,S100a10,S100 calcium binding protein A10 (calpactin)
4956,ENSMUSG00000027907,S100a11,S100 calcium binding protein A11
4958,ENSMUSG00000001021,S100a3,S100 calcium binding protein A3
4959,ENSMUSG00000001020,S100a4,S100 calcium binding protein A4
4960,ENSMUSG00000001023,S100a5,S100 calcium binding protein A5
4961,ENSMUSG00000001025,S100a6,S100 calcium binding protein A6 (calcyclin)
4962,ENSMUSG00000056054,S100a8,S100 calcium binding protein A8 (calgranulin A)
4963,ENSMUSG00000056071,S100a9,S100 calcium binding protein A9 (calgranulin B)
4964,ENSMUSG00000033208,S100b,"S100 protein, beta polypeptide, neural"
4965,ENSMUSG00000039476,Prrx2,paired related homeobox 2
4967,ENSMUSG00000074115,Saa1,serum amyloid A 1
4968,ENSMUSG00000057465,Saa2,serum amyloid A 2
4969,ENSMUSG00000040026,Saa3,serum amyloid A 3
4970,ENSMUSG00000040017,Saa4,serum amyloid A 4
4971,ENSMUSG00000056055,Sag,"S-antigen, retina and pineal gland (arrestin)"
4972,ENSMUSG00000030935,Acsm3,acyl-CoA synthetase medium-chain family member 3
4974,ENSMUSG00000028790,Khdrbs1,"KH domain containing, RNA binding, signal transduction associated 1"
4975,ENSMUSG00000026542,Apcs,serum amyloid P-component
4976,ENSMUSG00000021963,Sap18,Sin3-associated polypeptide 18
4977,ENSMUSG00000020211,Sf3a2,"splicing factor 3a, subunit 2"
4979,ENSMUSG00000020088,Sar1a,secretion associated Ras related GTPase 1A
4980,ENSMUSG00000068739,Sars,seryl-aminoacyl-tRNA synthetase
4981,ENSMUSG00000039148,Sart1,squamous cell carcinoma antigen recognized by T cells 1
4982,ENSMUSG00000025283,Sat1,spermidine/spermine N1-acetyl transferase 1
4983,ENSMUSG00000023927,Satb1,special AT-rich sequence binding protein 1
4984,ENSMUSG00000048528,Nkx1-2,NK1 homeobox 2
4986,ENSMUSG00000024128,Sbp,spermine binding protein
4988,ENSMUSG00000046876,Atxn1,ataxin 1
4989,ENSMUSG00000042605,Atxn2,ataxin 2
4991,ENSMUSG00000044594,Serpinb3a,"serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 3A"
4992,ENSMUSG00000037071,Scd1,stearoyl-Coenzyme A desaturase 1
4993,ENSMUSG00000025203,Scd2,stearoyl-Coenzyme A desaturase 2
4994,ENSMUSG00000050711,Scg2,secretogranin II
4995,ENSMUSG00000032181,Scg3,secretogranin III
4996,ENSMUSG00000004473,Clec11a,"C-type lectin domain family 11, member a"
4997,ENSMUSG00000027500,Stmn2,stathmin-like 2
4999,ENSMUSG00000002565,Scin,scinderin
5000,ENSMUSG00000027581,Stmn3,stathmin-like 3
5001,ENSMUSG00000034533,Scn10a,"sodium channel, voltage-gated, type X, alpha"
5002,ENSMUSG00000064329,Scn1a,"sodium channel, voltage-gated, type I, alpha"
5003,ENSMUSG00000019194,Scn1b,"sodium channel, voltage-gated, type I, beta"
5004,ENSMUSG00000057182,Scn3a,"sodium channel, voltage-gated, type III, alpha"
5005,ENSMUSG00000032511,Scn5a,"sodium channel, voltage-gated, type V, alpha"
5006,ENSMUSG00000034810,Scn7a,"sodium channel, voltage-gated, type VII, alpha"
5007,ENSMUSG00000023033,Scn8a,"sodium channel, voltage-gated, type VIII, alpha"
5008,ENSMUSG00000075316,Scn9a,"sodium channel, voltage-gated, type IX, alpha"
5009,ENSMUSG00000030340,Scnn1a,"sodium channel, nonvoltage-gated 1 alpha"
5010,ENSMUSG00000030873,Scnn1b,"sodium channel, nonvoltage-gated 1 beta"
5011,ENSMUSG00000000216,Scnn1g,"sodium channel, nonvoltage-gated 1 gamma"
5012,ENSMUSG00000028603,Scp2,"sterol carrier protein 2, liver"
5015,ENSMUSG00000031610,Scrg1,scrapie responsive gene 1
5016,ENSMUSG00000022390,Zc3h7b,zinc finger CCCH type containing 7B
5017,ENSMUSG00000038580,Sct,secretin
5018,ENSMUSG00000025044,Msr1,macrophage scavenger receptor 1
5019,ENSMUSG00000034161,Scx,scleraxis
5020,ENSMUSG00000020702,Ccl1,chemokine (C-C motif) ligand 1
5021,ENSMUSG00000020676,Ccl11,chemokine (C-C motif) ligand 11
5022,ENSMUSG00000035352,Ccl12,chemokine (C-C motif) ligand 12
5024,ENSMUSG00000031780,Ccl17,chemokine (C-C motif) ligand 17
5025,ENSMUSG00000035385,Ccl2,chemokine (C-C motif) ligand 2
5026,ENSMUSG00000026166,Ccl20,chemokine (C-C motif) ligand 20
5027,ENSMUSG00000031779,Ccl22,chemokine (C-C motif) ligand 22
5028,ENSMUSG00000023235,Ccl25,chemokine (C-C motif) ligand 25
5029,ENSMUSG00000073888,Ccl27a,chemokine (C-C motif) ligand 27A
5030,ENSMUSG00000000982,Ccl3,chemokine (C-C motif) ligand 3
5031,ENSMUSG00000018930,Ccl4,chemokine (C-C motif) ligand 4
5032,ENSMUSG00000035042,Ccl5,chemokine (C-C motif) ligand 5
5033,ENSMUSG00000018927,Ccl6,chemokine (C-C motif) ligand 6
5034,ENSMUSG00000035373,Ccl7,chemokine (C-C motif) ligand 7
5035,ENSMUSG00000009185,Ccl8,chemokine (C-C motif) ligand 8
5036,ENSMUSG00000019122,Ccl9,chemokine (C-C motif) ligand 9
5037,ENSMUSG00000029375,Cxcl15,chemokine (C-X-C motif) ligand 15
5038,ENSMUSG00000058427,Cxcl2,chemokine (C-X-C motif) ligand 2
5039,ENSMUSG00000029371,Cxcl5,chemokine (C-X-C motif) ligand 5
5040,ENSMUSG00000031778,Cx3cl1,chemokine (C-X3-C motif) ligand 1
5041,ENSMUSG00000061353,Cxcl12,chemokine (C-X-C motif) ligand 12
5042,ENSMUSG00000002064,Sdf2,stromal cell derived factor 2
5043,ENSMUSG00000000753,Serpinf1,"serine (or cysteine) peptidase inhibitor, clade F, member 1"
5044,ENSMUSG00000029076,Sdf4,stromal cell derived factor 4
5045,ENSMUSG00000027996,Sfrp2,secreted frizzled-related protein 2
5046,ENSMUSG00000032336,Nptn,neuroplastin
5047,ENSMUSG00000033386,Frrs1,ferric-chelate reductase 1
5048,ENSMUSG00000027227,Sord,sorbitol dehydrogenase
5049,ENSMUSG00000045954,Cavin2,caveolae associated 2
5052,ENSMUSG00000027879,Sec22b,"SEC22 homolog B, vesicle trafficking protein"
5053,ENSMUSG00000020986,Sec23a,"SEC23 homolog A, COPII coat complex component"
5054,ENSMUSG00000078974,Sec61g,"SEC61, gamma subunit"
5055,ENSMUSG00000029763,Exoc4,exocyst complex component 4
5056,ENSMUSG00000020964,Sel1l,sel-1 suppressor of lin-12-like (C. elegans)
5057,ENSMUSG00000026582,Sele,"selectin, endothelial cell"
5058,ENSMUSG00000003316,Glg1,golgi apparatus protein 1
5059,ENSMUSG00000068874,Selenbp1,selenium binding protein 1
5060,ENSMUSG00000068877,Selenbp2,selenium binding protein 2
5061,ENSMUSG00000026581,Sell,"selectin, lymphocyte"
5062,ENSMUSG00000026580,Selp,"selectin, platelet"
5063,ENSMUSG00000048163,Selplg,"selectin, platelet (p-selectin) ligand"
5064,ENSMUSG00000028883,Sema3a,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A"
5065,ENSMUSG00000057969,Sema3b,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B"
5066,ENSMUSG00000028780,Sema3c,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C"
5067,ENSMUSG00000063531,Sema3e,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E"
5068,ENSMUSG00000034684,Sema3f,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F"
5069,ENSMUSG00000028064,Sema4a,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A"
5070,ENSMUSG00000030539,Sema4b,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4B"
5071,ENSMUSG00000026121,Sema4c,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C"
5072,ENSMUSG00000021451,Sema4d,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D"
5073,ENSMUSG00000000627,Sema4f,"sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain"
5074,ENSMUSG00000022231,Sema5a,"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A"
5075,ENSMUSG00000052133,Sema5b,"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5B"
5076,ENSMUSG00000019647,Sema6a,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A"
5077,ENSMUSG00000001227,Sema6b,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B"
5078,ENSMUSG00000038777,Sema6c,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6C"
5079,ENSMUSG00000038264,Sema7a,"sema domain, immunoglobulin domain (Ig), and GPI membrane anchor, (semaphorin) 7A"
5080,ENSMUSG00000018398,Sept8,septin 8
5081,ENSMUSG00000064373,Selenop,selenoprotein P
5082,ENSMUSG00000041571,Selenow,selenoprotein W
5083,ENSMUSG00000021643,Serf1,small EDRK-rich factor 1
5085,ENSMUSG00000000632,Sez6,seizure related gene 6
5086,ENSMUSG00000039521,Foxp3,forkhead box P3
5087,ENSMUSG00000002111,Spi1,spleen focus forming virus (SFFV) proviral integration oncogene
5088,ENSMUSG00000031548,Sfrp1,secreted frizzled-related protein 1
5089,ENSMUSG00000027004,Frzb,frizzled-related protein
5090,ENSMUSG00000021319,Sfrp4,secreted frizzled-related protein 4
5091,ENSMUSG00000034120,Srsf2,serine and arginine-rich splicing factor 2
5092,ENSMUSG00000071172,Srsf3,serine and arginine-rich splicing factor 3
5093,ENSMUSG00000021134,Srsf5,serine and arginine-rich splicing factor 5
5094,ENSMUSG00000021789,Sftpa1,surfactant associated protein A1
5095,ENSMUSG00000056370,Sftpb,surfactant associated protein B
5096,ENSMUSG00000022097,Sftpc,surfactant associated protein C
5097,ENSMUSG00000021795,Sftpd,surfactant associated protein D
5098,ENSMUSG00000001508,Sgca,"sarcoglycan, alpha (dystrophin-associated glycoprotein)"
5099,ENSMUSG00000004631,Sgce,"sarcoglycan, epsilon"
5100,ENSMUSG00000019970,Sgk1,serum/glucocorticoid regulated kinase 1
5101,ENSMUSG00000023236,Scg5,secretogranin V
5102,ENSMUSG00000020097,Sgpl1,sphingosine phosphate lyase 1
5103,ENSMUSG00000030733,Sh2b1,SH2B adaptor protein 1
5104,ENSMUSG00000005696,Sh2d1a,SH2 domain containing 1A
5105,ENSMUSG00000022436,Sh3bp1,SH3-domain binding protein 1
5106,ENSMUSG00000027288,Zfp106,zinc finger protein 106
5107,ENSMUSG00000020640,Itsn2,intersectin 2
5108,ENSMUSG00000028488,Sh3gl2,SH3-domain GRB2-like 2
5109,ENSMUSG00000003200,Sh3gl1,SH3-domain GRB2-like 1
5111,ENSMUSG00000030638,Sh3gl3,SH3-domain GRB2-like 3
5112,ENSMUSG00000024725,Ostf1,osteoclast stimulating factor 1
5113,ENSMUSG00000022091,Sorbs3,sorbin and SH3 domain containing 3
5114,ENSMUSG00000025006,Sorbs1,sorbin and SH3 domain containing 1
5115,ENSMUSG00000005202,Shbg,sex hormone binding globulin
5116,ENSMUSG00000042626,Shc1,src homology 2 domain-containing transforming protein C1
5117,ENSMUSG00000021448,Shc3,src homology 2 domain-containing transforming protein C3
5118,ENSMUSG00000022322,Shcbp1,Shc SH2-domain binding protein 1
5119,ENSMUSG00000039154,Shd,src homology 2 domain-containing transforming protein D
5120,ENSMUSG00000042541,Sem1,"SEM1, 26S proteasome complex subunit"
5121,ENSMUSG00000002633,Shh,sonic hedgehog
5122,ENSMUSG00000020534,Shmt1,serine hydroxymethyltransferase 1 (soluble)
5125,ENSMUSG00000027833,Shox2,short stature homeobox 2
5126,ENSMUSG00000030447,Cyfip1,cytoplasmic FMR1 interacting protein 1
5127,ENSMUSG00000025359,Pmel,premelanosome protein
5129,ENSMUSG00000036840,Siah1a,siah E3 ubiquitin protein ligase 1A
5130,ENSMUSG00000040749,Siah1b,siah E3 ubiquitin protein ligase 1B
